"18 Ashford Court, Aurora"
"67 Valemount Way, Aurora"
"35 Hodgkinson Cres, Aurora"
"24 Petch Cres, Aurora"
"101 Laurier Avenue, Richmond Hill"
"119 Timpson Drive, Aurora"
"116 Sunset Beach Road, Richmond Hill"
"39 Woodroof Cres, Aurora"
"17 Whispering Pine Tr, Aurora"
"143 Forest Ridge Rd, Richmond Hill"
"23 Allenvale Dr, Aurora"
"60 Cranberry Lane, Aurora"
"279 River Ridge, Aurora"
"10 Windham Trail, Aurora"
"182 Willow Farm Ln, Aurora"
"150 Beechbrooke Way, Aurora"
"70 Laurier Avenue, Richmond Hill"
"31 Barberry Cres, Richmond Hill"
"7 Barberry Cres, Richmond Hill"
"18 Albery Cres, Aurora"
"26 Kerr Ln, Aurora"
"41 Meadowood Dr, Aurora"
"14 Timbertrail Cres, Aurora"
"263 Pinnacle Trail, Aurora"
"123 Aurora Heights Dr, Aurora"
"48 Falling Leaf Ct, Aurora"
"50 Corner Ridge Rd, Aurora"
"20 Ardill Cres, Aurora"
"1021 Sherman Brock Cir, Newmarket"
"344 Hollandview Tr, Aurora"
"126 Woodroof Cres, Aurora"
"18 Langman Pl, Aurora"
"6 Langman Pl, Aurora"
"23 Barberry Cres, Richmond Hill"
"30 Grovepark St, Richmond Hill"
"67 Blyth Street, Richmond Hill"
"40 Coons Rd, Richmond Hill"
"82 Fern Valley Cres, Richmond Hill"
"119 Willow Farm Lane, Aurora"
"40 Beaufort Hills Rd, Richmond Hill"
"50 Barberry Cres, Richmond Hill"
"291 River Ridge Blvd, Aurora"
"118 Crawford Rose Drive, Aurora"
"126 Crane St, Aurora"
"7 Fife Rd, Aurora"
"64 Batson Drive, Aurora"
"57 Autumn Way, Aurora"
"32 Albery Cres, Aurora"
"9 Pittypat Cr, Aurora"
"Read St, Aurora"
"947 Goring Cir, Newmarket"
"Ardill Cr, Aurora"
"58 Devins Drive, Aurora"
"372 Kennedy St W, Aurora"
"53 Petermann St, Aurora"
"292 Bilbrough St, Aurora"
"119 Cranberry Lane, Aurora"
"259 Aurora Heights Dr, Aurora"
"122 Corner Ridge Rd, Aurora"
"135 Aurora Heights Drive, Aurora"
"21 Milgate Pl, Aurora"
"27 Kennington Ct, Richmond Hill"
"147 Aurora Heights Dr, Aurora"
"9 Greyfriars Avenue, Richmond Hill"
"10 Gleave Crt, Aurora"
"161 Healthwood Height Dr, Aurora"
"18 Simmons Cres, Aurora"
"19 Chadburn Cres, Aurora"
"122 Wells Rd, Aurora"
"38 Foyrace Way, Aurora"
"22 Cady Ct, Aurora"
"51 Haverhill Terrace, Aurora"
"86 Joseph Hartman Cres, Aurora"
"77 Usherwood St, Aurora"
"39 Crossley Ct, King City"
"35 Lensmith Dr , Aurora"
"23 Petch Cres, Aurora"
"124 Crawford Rose Drive, Aurora"
"226 Corner Ridge, Aurora"
"29 Glenview Drive, Aurora"
"11 Mc Donald Drive, Aurora"
"137 Tribbling Cr, Aurora"
"167 Treegrove Circle, Aurora"
"84 Spruce Street, Aurora"
"284 Kennedy St W, Aurora"
"12 Madras Avenue, Richmond Hill"
"22 Langman Pl, Aurora"
"82 Attridge Dr, Aurora"
"58 Timpson Dr, Aurora"
"150 Walton Dr, Aurora"
"255 Bilbrough St, Aurora"
"224 Timpson Dr, Aurora"
"10 Aubrietia Court, Richmond Hill"
"65 Nisbet St, A"
"4 Hodgkinson Cres, Aurora"
"52 Hodgkinson Cres, Aurora"
"99 Fern Vally Cres, Richmond Hill"
"92 Cranberry Lane, Aurora"
"49 Pinnacle Trail, Aurora"
"123 Pinnacle Trail, Aurora"
"54 Fern Valley Cres, Richmond Hill"
"3 Snedden Ave , Aurora"
"Downey Circle 2, Aurora"
"125 Coons Rd, Richmond Hill"
"33 Foyrace Way, Aurora"
"225 Aurora Heights Dr, Aurora"
"103 Gateway Dr, Aurora"
"34 Turnbridge Rd, Aurora"
"378 Pinnacle Trail, Aurora"
"27 Cosford St, Aurora"
"24 Cranberry Lane, Aurora"
"259 Bilbrough St, Aurora"
6 Linacre Drive
"2 Dodie St, Aurora"
"53 Barberry Cres, Rh"
"1 Kenington Ct, Richmond Hill"
"138 Rush Rd, Aurora"
"25 Greyfriars Avenue, Richmond Hill"
"18 Trillium Dr, Aurora"
"84 Mc Clellan , Aurora"
